author,title,pages,year,crossref,booktitle,ee,url,genre
['Qing Xie 0008'],Developing cost-effective model-based techniques for GUI testing.,['997-1000'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134473'],['db/conf/icse/icse2006.html#Xie06'],inproceedings
"['Russell A. McClure', 'Ingolf H. Krüger']",SQL DOM: compile time checking of dynamic SQL statements.,['88-96'],2005,['conf/icse/2005'],ICSE,"['https://doi.org/10.1145/1062455.1062487', 'https://doi.org/10.1109/ICSE.2005.1553551', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2005.1553551']",['db/conf/icse/icse2005.html#McClureK05'],inproceedings
"['Christof Ebert', 'Casimiro Hernandez Parro', 'Roland Suttels', 'Harald Kolarczyk']",Improving Validation Activities in a Global Software Development.,['545-554'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919129', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919129']",['db/conf/icse/icse2001.html#EbertPSK01'],inproceedings
"['Ivan T. Bowman', 'Richard C. Holt', 'Neil V. Brewster']",Linux as a Case Study: Its Extracted Software Architecture.,['555-563'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302691'],['db/conf/icse/icse99.html#BowmanHB99'],inproceedings
"['George T. Heineman', 'Gail E. Kaiser']",An Architecture for Integrating Concurrency Control into Environment Frameworks.,['305-313'],1995,['conf/icse/1995'],ICSE,['https://doi.org/10.1145/225014.225043'],['db/conf/icse/icse95.html#HeinemanK95'],inproceedings
"['Volker Gruhn', 'Juri Urbainczyk']",Software Process Modeling and Enactment: An Experience Report Related to Problem Tracking in an Industrial Project.,['13-21'],1998,['conf/icse/1998'],ICSE,"['https://doi.org/10.1109/ICSE.1998.671098', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.1998.671098']",['db/conf/icse/icse98.html#GruhnU98'],inproceedings
"['Tetsuo Tamai', 'Akito Itou']",Requirements and Design Change in Large-Scale Software Development: Analysis From the Viewpoint of Process Backtracking.,['167-176'],1993,['conf/icse/1993'],ICSE,['http://portal.acm.org/citation.cfm?id=257572.257607'],['db/conf/icse/icse93.html#TamaiI93'],inproceedings
"['Guttorm Sindre', 'Steinar Line', 'Ottar V. Valvâg']",Positive Experiences with an Open Project Assignment in an Introductory Programming Course.,['608-613'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201244', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201244', 'http://dl.acm.org/citation.cfm?id=776900']",['db/conf/icse/icse2003.html#SindreLV03'],inproceedings
"['Gerald Bortis', 'André van der Hoek']",PorchLight: a tag-based approach to bug triaging.,['342-351'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606580', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606580', 'http://dl.acm.org/citation.cfm?id=2486834']",['db/conf/icse/icse2013.html#BortisH13'],inproceedings
"['Jörg Noack', 'Bruno Schienmann']",Designing an Application Development Model for a Large Banking Organization.,['495-498'],1998,['conf/icse/1998'],ICSE,"['https://doi.org/10.1109/ICSE.1998.671614', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.1998.671614']",['db/conf/icse/icse98.html#NoackS98'],inproceedings
