author,title,pages,year,booktitle,ee,crossref,url,genre
['Craig Anslow'],Reflections on Collaborative Software Visualization in Co-located Environments.,['645-650'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.115', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.115']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#Anslow14'],inproceedings
"['Zhe Jin', 'Kong-Yik Chee', 'Xin Xia 0001']",What Do Developers Discuss about Biometric APIs?,['348-352'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00053'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#JinCX19'],inproceedings
"['Kevin Moran', 'Mario Linares Vásquez', 'Denys Poshyvanyk']",Automated GUI Testing of Android Apps: From Research to Practice.,['648'],2016,ICSME,"['https://doi.org/10.1109/ICSME.2016.79', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2016.79']",['conf/icsm/2016'],['db/conf/icsm/icsme2016.html#MoranVP16'],inproceedings
['Wolfram Fenske'],Code smells in highly configurable software.,['602-605'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332523', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332523']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#Fenske15'],inproceedings
"['Ali Sajedi Badashian', 'Abram Hindle', 'Eleni Stroulia']",Crowdsourced bug triaging.,['506-510'],2015,ICSME,"['https://doi.org/10.1109/ICSM.2015.7332503', 'http://doi.ieeecomputersociety.org/10.1109/ICSM.2015.7332503']",['conf/icsm/2015'],['db/conf/icsm/icsme2015.html#BadashianHS15'],inproceedings
"['Rafael Kallis', 'Andrea Di Sorbo', 'Gerardo Canfora', 'Sebastiano Panichella']",Ticket Tagger: Machine Learning Driven Issue Classification.,['406-409'],2019,ICSME,['https://doi.org/10.1109/ICSME.2019.00070'],['conf/icsm/2019'],['db/conf/icsm/icsme2019.html#KallisSCP19'],inproceedings
"['Chris Mills', 'Javier Escobar-Avila', 'Sonia Haiduc']",Automatic Traceability Maintenance via Machine Learning Classification.,['369-380'],2018,ICSME,"['https://doi.org/10.1109/ICSME.2018.00045', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2018.00045']",['conf/icsm/2018'],['db/conf/icsm/icsme2018.html#MillsEH18'],inproceedings
"['Zengyang Li', 'Qinyi Yu', 'Peng Liang 0001', 'Ran Mo', 'Chen Yang 0007']",Interest of Defect Technical Debt: An Exploratory Study on Apache Projects.,['629-639'],2020,ICSME,['https://doi.org/10.1109/ICSME46990.2020.00065'],['conf/icsm/2020'],['db/conf/icsm/icsme2020.html#LiY0MY20'],inproceedings
"['Matthieu Parizy', 'Koichiro Takayama', 'Yuji Kanazawa']",Software Defect Prediction for LSI Designs.,['565-568'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.96', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.96']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#ParizyTK14'],inproceedings
"['Muhammad Asaduzzaman', 'Chanchal K. Roy', 'Kevin A. Schneider', 'Daqing Hou']",Context-Sensitive Code Completion Tool for Better API Usability.,['621-624'],2014,ICSME,"['https://doi.org/10.1109/ICSME.2014.110', 'http://doi.ieeecomputersociety.org/10.1109/ICSME.2014.110']",['conf/icsm/2014'],['db/conf/icsm/icsme2014.html#AsaduzzamanRSH14a'],inproceedings
