author,title,pages,year,booktitle,ee,crossref,url,genre
"['Yuan-Fang Li', 'Hongyu Zhang 0002']",Integrating software engineering data using semantic web technologies.,['211-214'],2011,MSR,['https://doi.org/10.1145/1985441.1985473'],['conf/msr/2011'],['db/conf/msr/msr2011.html#LiZ11'],inproceedings
"['Luca Ponzanelli', 'Andrea Mocci', 'Michele Lanza']",StORMeD: Stack Overflow Ready Made Data.,['474-477'],2015,MSR,"['https://doi.org/10.1109/MSR.2015.67', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2015.67', 'http://dl.acm.org/citation.cfm?id=2820591']",['conf/msr/2015'],['db/conf/msr/msr2015.html#PonzanelliML15a'],inproceedings
"['Haipeng Cai', 'John Jenkins']",Leveraging historical versions of Android apps for efficient and precise taint analysis.,['265-269'],2018,MSR,"['https://doi.org/10.1145/3196398.3196433', 'http://ieeexplore.ieee.org/document/8595209']",['conf/msr/2018'],['db/conf/msr/msr2018.html#CaiJ18'],inproceedings
"['Asher Trockman', 'Rijnard van Tonder', 'Bogdan Vasilescu']",Striking gold in software repositories?: an econometric study of cryptocurrencies on GitHub.,['181-185'],2019,MSR,"['https://doi.org/10.1109/MSR.2019.00036', 'https://dl.acm.org/citation.cfm?id=3341914']",['conf/msr/2019'],['db/conf/msr/msr2019.html#TrockmanTV19'],inproceedings
"['Di Yang', 'Pedro Martins 0001', 'Vaibhav Saini', 'Cristina V. Lopes']",Stack overflow in github: any snippets there?,['280-290'],2017,MSR,"['https://doi.org/10.1109/MSR.2017.13', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2017.13', 'http://dl.acm.org/citation.cfm?id=3104224']",['conf/msr/2017'],['db/conf/msr/msr2017.html#YangMSL17'],inproceedings
"['Jacek Ratzinger', 'Thomas Sigmund', 'Harald C. Gall']",On the relation of refactorings and software defect prediction.,['35-38'],2008,MSR,['https://doi.org/10.1145/1370750.1370759'],['conf/msr/2008'],['db/conf/msr/msr2008.html#RatzingerSG08'],inproceedings
"['Ali Dehghan 0003', 'Adam Neal', 'Kelly Blincoe', 'Johan Linåker', 'Daniela E. Damian']",Predicting likelihood of requirement implementation within the planned iteration: an empirical study at IBM.,['124-134'],2017,MSR,"['https://doi.org/10.1109/MSR.2017.53', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2017.53', 'http://dl.acm.org/citation.cfm?id=3104206']",['conf/msr/2017'],['db/conf/msr/msr2017.html#DehghanNBLD17'],inproceedings
"['Cyrille Artho', 'Kuniyasu Suzaki', 'Roberto Di Cosmo', 'Ralf Treinen', 'Stefano Zacchiroli']",Why do software packages conflict?,['141-150'],2012,MSR,"['https://doi.org/10.1109/MSR.2012.6224274', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2012.6224274', 'http://dl.acm.org/citation.cfm?id=2664470', 'https://www.wikidata.org/entity/Q56901839']",['conf/msr/2012'],['db/conf/msr/msr2012.html#ArthoSCTZ12'],inproceedings
"['Irineu Moura', 'Gustavo Pinto 0001', 'Felipe Ebert', 'Fernando Castor']",Mining Energy-Aware Commits.,['56-67'],2015,MSR,"['https://doi.org/10.1109/MSR.2015.13', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2015.13', 'http://dl.acm.org/citation.cfm?id=2820528']",['conf/msr/2015'],['db/conf/msr/msr2015.html#MouraPEC15'],inproceedings
"['Christian Macho', 'Shane McIntosh', 'Martin Pinzger 0001']",Extracting build changes with BuildDiff.,['368-378'],2017,MSR,"['https://doi.org/10.1109/MSR.2017.65', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2017.65', 'http://dl.acm.org/citation.cfm?id=3104233']",['conf/msr/2017'],['db/conf/msr/msr2017.html#MachoMP17'],inproceedings
"['Oleksii Kononenko', 'Olga Baysal', 'Reid Holmes', 'Michael W. Godfrey']",Mining modern repositories with elasticsearch.,['328-331'],2014,MSR,['https://doi.org/10.1145/2597073.2597091'],['conf/msr/2014'],['db/conf/msr/msr2014.html#KononenkoBHG14'],inproceedings
"['Nicole Novielli', 'Daniela Girardi', 'Filippo Lanubile']",A benchmark study on sentiment analysis for software engineering research.,['364-375'],2018,MSR,"['https://doi.org/10.1145/3196398.3196403', 'http://ieeexplore.ieee.org/document/8595220']",['conf/msr/2018'],['db/conf/msr/msr2018.html#NovielliGL08'],inproceedings
"['Jens Dietrich 0001', 'David J. Pearce', 'Jacob Stringer', 'Amjed Tahir', 'Kelly Blincoe']",Dependency versioning in the wild.,['349-359'],2019,MSR,"['https://doi.org/10.1109/MSR.2019.00061', 'https://dl.acm.org/citation.cfm?id=3341943']",['conf/msr/2019'],['db/conf/msr/msr2019.html#0001PSTB19'],inproceedings
"['Bruno Cartaxo', 'Gustavo Pinto 0001', 'Danilo Monteiro Ribeiro', 'Fernando Kamei', 'Ronnie E. S. Santos', 'Fabio Q. B. da Silva', 'Sérgio Soares']",Using Q&A websites as a method for assessing systematic reviews.,['238-242'],2017,MSR,"['https://doi.org/10.1109/MSR.2017.5', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2017.5', 'http://dl.acm.org/citation.cfm?id=3104218']",['conf/msr/2017'],['db/conf/msr/msr2017.html#CartaxoPRKSSS17'],inproceedings
"['Yang Chen', 'Andrew E. Santosa', 'Ming Yi Ang', 'Abhishek Sharma 0002', 'Asankhaya Sharma', 'David Lo 0001']",A Machine Learning Approach for Vulnerability Curation.,['32-42'],2020,MSR,['https://doi.org/10.1145/3379597.3387461'],['conf/msr/2020'],['db/conf/msr/msr2020.html#ChenSASS020'],inproceedings
['Neil A. Ernst'],Bayesian hierarchical modelling for tailoring metric thresholds.,['587-591'],2018,MSR,"['https://doi.org/10.1145/3196398.3196443', 'http://ieeexplore.ieee.org/document/8595242']",['conf/msr/2018'],['db/conf/msr/msr2018.html#Ernst08'],inproceedings
['Adrian Schröter'],Predicting Defects and Changes with Import Relations.,['31'],2007,MSR,"['https://doi.org/10.1109/MSR.2007.24', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2007.24', 'http://dl.acm.org/citation.cfm?id=1269045']",['conf/msr/2007'],['db/conf/msr/msr2007.html#Schroter07'],inproceedings
"['Daryl Posnett', 'Christian Bird', 'Premkumar T. Devanbu']",THEX: Mining metapatterns from java.,['122-125'],2010,MSR,"['https://doi.org/10.1109/MSR.2010.5463349', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2010.5463349', 'https://www.wikidata.org/entity/Q57726792']",['conf/msr/2010'],['db/conf/msr/msr2010.html#PosnettBD10'],inproceedings
"['Sergey Zeltyn', 'Perri Tarr', 'Murray Cantor', 'Robert Delmonico', 'Sateesh Kannegala', 'Mila Keren', 'Ashok Pon Kumar', 'Segev Wasserkrug']",Improving efficiency in software maintenance.,['215-218'],2011,MSR,['https://doi.org/10.1145/1985441.1985474'],['conf/msr/2011'],['db/conf/msr/msr2011.html#ZeltynTCDKKKW11'],inproceedings
['Piërre van de Laar'],On the transfer of evolutionary couplings to industry.,['187-190'],2009,MSR,"['https://doi.org/10.1109/MSR.2009.5069502', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2009.5069502']",['conf/msr/2009'],['db/conf/msr/msr2009.html#Laar09'],inproceedings
