author,title,pages,year,booktitle,ee,crossref,url,genre
"['Ayushi Rastogi', 'Nachiappan Nagappan']",Forking and the Sustainability of the Developer Community Participation - An Empirical Investigation on Outcomes and Reasons.,['102-111'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.27', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.27']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#RastogiN16'],inproceedings
"['Luigi Frunzio', 'Bin Lin 0008', 'Michele Lanza', 'Gabriele Bavota']",RETICULA: Real-time code quality assessment.,['542-546'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330256', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330256']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#Franzio0LB18'],inproceedings
"['Aikaterini Paltoglou', 'Vassilis E. Zafeiris', 'Emmanouel A. Giakoumakis', 'N. A. Diamantidis']",Automated refactoring of client-side JavaScript code to ES6 modules.,['402-412'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330227', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330227']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#PaltoglouZGD18'],inproceedings
"['Pingyi Zhou', 'Jin Liu 0016', 'Zijiang Yang', 'Guangyou Zhou']",Scalable tag recommendation for software information sites.,['272-282'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884628', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884628']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#ZhouLYZ17'],inproceedings
"['Béla Vancsics', 'Attila Szatmári', 'Árpád Beszédes']",Relationship between the Effectiveness of Spectrum-Based Fault Localization and Bug-Fix Types in JavaScript Programs.,['308-319'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054803'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#VancsicsSB20'],inproceedings
"['Rana Alkadhi', 'Manuel Nonnenmacher', 'Emitza Guzman', 'Bernd Bruegge']",How do developers discuss rationale?,['357-369'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330223', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330223']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#AlkadhiNGB18'],inproceedings
"['Kamil Jezek', 'Richard Lipka']",Antipatterns causing memory bloat: A case study.,['306-315'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884631', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884631']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#JezekL17'],inproceedings
"['Arjan J. Mooij', 'Jeroen Ketema', 'Steven Klusener', 'Mathijs Schuts']",Reducing Code Complexity through Code Refactoring and Model-Based Rejuvenation.,['617-621'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054823'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#MooijKKS20'],inproceedings
"['Luca Pascarella', 'Fabio Palomba', 'Alberto Bacchelli']",Re-evaluating method-level bug prediction.,['592-601'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330264', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330264']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#PascarellaPB18'],inproceedings
"['Raula Gaikovina Kula', 'Coen De Roover', 'Daniel M. Germán', 'Takashi Ishio', 'Katsuro Inoue']","A generalized model for visualizing library popularity, adoption, and diffusion within a software ecosystem.",['288-299'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330217', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330217']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#KulaRGII18'],inproceedings
"['Judith F. Islam', 'Manishankar Mondal', 'Chanchal K. Roy']",A Comparative Study of Software Bugs in Micro-clones and Regular Code Clones.,['73-83'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8667993'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#IslamMR19'],inproceedings
"['Jie Liang', 'Mingzhe Wang', 'Yuanliang Chen', 'Yu Jiang 0001', 'Renwei Zhang']",Fuzz testing in practice: Obstacles and solutions.,['562-566'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330260', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330260']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#LiangWCJZ18'],inproceedings
"['Daniel San Martín', 'Bento R. Siqueira', 'Valter Vieira de Camargo', 'Fabiano Cutigi Ferrari']",Characterizing Architectural Drifts of Adaptive Systems.,['389-399'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054856'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#MartinSCF20'],inproceedings
"['Laerte Xavier', 'André C. Hora', 'Marco Tulio Valente']",Why do we break APIs? First answers from developers.,['392-396'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884640', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884640']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#XavierHV17'],inproceedings
"['Alexandre Decan', 'Tom Mens', 'Maëlick Claes', 'Philippe Grosjean']",When GitHub Meets CRAN: An Analysis of Inter-Repository Package Dependency Problems.,['493-504'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.12', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.12', 'https://www.wikidata.org/entity/Q58146953']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#DecanMCG16'],inproceedings
['Yujuan Jiang'],Improving the integration process of large software systems.,['598'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081888', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081888']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#Jiang15'],inproceedings
"['Gergely Ladányi', 'Zoltán Tóth', 'Rudolf Ferenc', 'Tibor Keresztesi']",A software quality model for RPG.,['91-100'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081819', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081819']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#LadanyiTFK15'],inproceedings
"['Manishankar Mondal', 'Chanchal K. Roy', 'Kevin A. Schneider']",Micro-clones in evolving software.,['50-60'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330196', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330196']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#MondalRS18'],inproceedings
"['Jie Lu', 'Liu Chen', 'Lian Li 0002', 'Xiaobing Feng 0002']",Understanding Node Change Bugs for Distributed Systems.,['399-410'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8668027'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#LuC0019'],inproceedings
"['Angel Luis Scull Pupo', 'Jens Nicolay', 'Kyriakos Efthymiadis', 'Ann Nowé', 'Coen De Roover', 'Elisa Gonzalez Boix']",GUARDIAML: Machine Learning-Assisted Dynamic Information Flow Control.,['624-628'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8667979'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#PupoNENRB19'],inproceedings
"['Felipe Ebert', 'Fernando Castor', 'Nicole Novielli', 'Alexander Serebrenik']","Confusion in Code Reviews: Reasons, Impacts, and Coping Strategies.",['49-60'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8668024'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#EbertCNS19'],inproceedings
"['Haidar Osman', 'Manuel Leuenberger', 'Mircea Lungu', 'Oscar Nierstrasz']",Tracking Null Checks in Open-Source Java Systems.,['304-313'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.57', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.57', 'https://www.wikidata.org/entity/Q59640242']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#OsmanLLN16'],inproceedings
"['Suhas Kabinna', 'Weiyi Shang', 'Cor-Paul Bezemer', 'Ahmed E. Hassan']",Examining the Stability of Logging Statements.,['326-337'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.29', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.29']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#KabinnaSBH16'],inproceedings
"['Zhouyang Jia', 'Shanshan Li', 'Xiaodong Liu', 'Xiangke Liao', 'Yunhuai Liu']",SMARTLOG: Place error log statement by deep understanding of log intention.,['61-71'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330197', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330197']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#JiaLLLL18'],inproceedings
"['Karan Aggarwal', 'Tanner Rutgers', 'Finbarr Timbers', 'Abram Hindle', 'Russell Greiner', 'Eleni Stroulia']",Detecting duplicate bug reports with software engineering domain knowledge.,['211-220'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081831', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081831']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#AggarwalRTHGS15'],inproceedings
"['Patrick Neubauer', 'Robert Bill', 'Tanja Mayerhofer', 'Manuel Wimmer']",Automated generation of consistency-achieving model editors.,['127-137'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884615', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884615', 'https://www.wikidata.org/entity/Q57518881']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#NeubauerBMW17'],inproceedings
"['Michael Rath 0002', 'Mihaela Todorova Tomova', 'Patrick Mäder']",SpojitR: Intelligently Link Development Artifacts.,['652-656'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054839'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#0002TM20'],inproceedings
